Date,ABB,APA,BKR,BP,CLR,COP,CTRA,CVX,DVN,E,EC,ENB,EOG,EQNR,EQT,FANG,HAL,HES,MPC,MPLX,MRO,OVV,OXY,PBA,PBR,PSX,PTR,PXD,SHEL,SLB,SNP,SSL,TPL,TTE,VLO,WDS,XOM
2018-10-02,20.20738983154297,45.06432342529297,28.487266540527344,37.456398010253906,68.73158264160156,69.48661804199219,19.832080841064453,104.77775573730469,33.62080764770508,30.2206974029541,19.116838455200195,26.79351806640625,112.54277038574219,24.140087127685547,23.45917510986328,124.89588928222656,38.792144775390625,68.79049682617188,71.34872436523438,23.255935668945312,22.403610229492188,59.4472541809082,73.85409545898438,27.919227600097656,8.756254196166992,97.42623138427734,64.78080749511719,158.3710174560547,58.03522872924805,54.66603469848633,69.60633087158203,38.50349426269531,803.6591186523438,50.96830749511719,95.67654418945312,24.059938430786133,69.76188659667969
2018-10-03,20.224824905395508,45.37063980102539,28.292938232421875,37.600433349609375,70.05878448486328,69.74406433105469,20.04038429260254,105.25653076171875,34.28715515136719,30.164794921875,19.4267635345459,27.138879776000977,112.87173461914062,24.25180435180664,23.46448516845703,127.51139068603516,38.87584686279297,69.37187957763672,74.0131607055664,23.514331817626953,22.86102294921875,60.75526428222656,73.47978210449219,27.87175750732422,9.015748023986816,100.63723754882812,66.10171508789062,163.1526336669922,58.379730224609375,55.310829162597656,68.85189819335938,38.28662872314453,811.1474609375,50.95258712768555,99.37870788574219,24.1645450592041,69.51177978515625
2018-10-04,19.972015380859375,44.99935531616211,28.575597763061523,37.42438507080078,67.4922103881836,69.48661804199219,20.647933959960938,104.95414733886719,33.85697937011719,29.981109619140625,18.91961097717285,27.227230072021484,112.74188232421875,23.770549774169922,23.4857234954834,123.25553894042969,38.95954895019531,68.05908203125,73.05364227294922,23.42157745361328,22.603731155395508,58.680477142333984,73.23917388916016,27.761009216308594,9.108899116516113,99.98313903808594,63.250484466552734,161.02845764160156,58.16966247558594,55.51397705078125,64.56495666503906,37.44873809814453,801.9661254882812,50.56783676147461,97.08454132080078,23.833288192749023,69.05184936523438
2018-10-05,19.73663902282715,44.535247802734375,28.178104400634766,37.208335876464844,66.2723388671875,69.58427429199219,20.7520809173584,105.2733383178711,33.77263641357422,30.005064010620117,18.77873420715332,27.074621200561523,113.45176696777344,23.90805435180664,23.809629440307617,124.25798797607422,39.06185531616211,67.92779541015625,72.40252685546875,23.57396697998047,22.308319091796875,57.64308547973633,72.54402923583984,27.745187759399414,9.255281448364258,100.55229187011719,63.41963195800781,162.98377990722656,57.43025207519531,55.6464729309082,64.58610534667969,37.330448150634766,797.2125854492188,49.9239616394043,96.99342346191406,23.56304931640625,68.85819244384766
2018-10-08,19.597156524658203,44.553810119628906,28.169269561767578,36.65622329711914,64.32057189941406,69.48661804199219,21.133970260620117,104.86176300048828,32.70985794067383,29.238365173339844,18.482892990112305,27.066593170166016,112.3956069946289,23.607269287109375,24.266281127929688,121.09571075439453,39.071163177490234,66.68065643310547,71.84564208984375,23.58059310913086,21.803258895874023,56.470375061035156,72.85594177246094,27.666080474853516,10.233372688293457,100.35690307617188,62.66252517700195,161.6150665283203,56.86729049682617,55.593482971191406,62.386226654052734,36.364410400390625,783.3057250976562,48.911033630371094,96.2231674194336,23.545612335205078,69.49562072753906
2018-10-09,19.457674026489258,45.760475158691406,28.822933197021484,36.81625747680664,64.02781677246094,70.48081970214844,21.186046600341797,106.52488708496094,33.32559585571289,29.845335006713867,18.835086822509766,27.066593170166016,114.57720184326172,24.26040267944336,24.63266372680664,123.14618682861328,39.19205856323242,68.04972076416016,71.75996398925781,23.699859619140625,21.850910186767578,56.87630844116211,73.28372955322266,27.67399024963379,10.699130058288574,99.96615600585938,63.186058044433594,167.01881408691406,57.39664840698242,55.74363327026367,61.60358428955078,36.86714553833008,780.5523071289062,49.61772155761719,95.79248809814453,23.362548828125,69.80223083496094
2018-10-10,18.777706146240234,43.06868362426758,28.195772171020508,36.12810134887695,59.919342041015625,66.65495300292969,20.83019256591797,102.980224609375,31.461519241333008,29.58976936340332,18.095487594604492,26.23933219909668,109.48680114746094,23.615863800048828,24.23973274230957,117.81498718261719,37.796993255615234,63.004817962646484,69.09552764892578,23.322195053100586,20.164203643798828,52.90714645385742,69.44263458251953,26.7246150970459,10.047069549560547,96.0330810546875,61.79266357421875,159.3575897216797,56.23711013793945,53.72092819213867,59.3754997253418,35.7729606628418,748.729248046875,49.492095947265625,91.8004379272461,22.9179630279541,68.1965560913086
2018-10-11,18.428998947143555,41.42576217651367,27.082778930664062,35.311912536621094,57.68456268310547,64.61333465576172,20.12717628479004,99.47755432128906,30.398746490478516,28.990787506103516,17.71512222290039,25.572708129882812,105.28807830810547,22.97991943359375,24.0804386138916,113.57736206054688,36.96925354003906,61.42008972167969,67.45060729980469,23.017414093017578,19.02067756652832,51.10297393798828,68.203857421875,26.392337799072266,9.887378692626953,92.98346710205078,60.624778747558594,152.56732177734375,54.968360900878906,52.2193603515625,59.622283935546875,34.81678009033203,730.22705078125,48.34567642211914,88.52896881103516,22.325183868408203,65.84050750732422
2018-10-12,18.533611297607422,41.88986587524414,27.250612258911133,35.647987365722656,58.992244720458984,65.81226348876953,20.292081832885742,98.92316436767578,30.89639663696289,28.863000869750977,17.961658477783203,25.685150146484375,105.77288818359375,23.10023307800293,24.10698699951172,114.93521881103516,36.829742431640625,62.03898620605469,68.60717010498047,23.242687225341797,19.554323196411133,50.92255783081055,68.58707427978516,26.677152633666992,10.213412284851074,92.98346710205078,60.7294921875,154.2382049560547,54.83392333984375,52.404842376708984,60.581199645996094,35.4969482421875,742.97119140625,48.35353088378906,89.65534210205078,22.1595516204834,65.66300201416016
2018-10-15,18.385412216186523,41.37006759643555,27.10927963256836,35.60797882080078,60.24138259887695,65.3130874633789,20.74340057373047,98.22599792480469,30.457788467407227,29.05467987060547,17.41928482055664,25.958223342895508,106.11050415039062,23.254924774169922,24.93001937866211,116.58468627929688,37.01575469970703,61.55135726928711,66.64527130126953,23.05716896057129,19.859264373779297,50.96767807006836,64.3805923461914,26.66923713684082,10.253334045410156,91.07215881347656,61.824886322021484,154.01600646972656,54.959957122802734,52.59916305541992,60.75042724609375,35.703956604003906,723.4177856445312,48.77754211425781,85.96147155761719,22.429786682128906,65.21115112304688
