Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NICE,NICE Ltd American Depositary Shares,$193.20 ,0.75,0.39%,12274312075,Israel,,161399,Technology,Computer Software: Prepackaged Software
NLOK,NortonLifeLock Inc. Common Stock,$22.28 ,0.32,1.46%,12923827435,United States,,4752464,Technology,Computer Software: Prepackaged Software
NTAP,NetApp Inc. Common Stock,$62.78 ,-2.46,-3.77%,13886334819,United States,1995,2066237,Technology,Electronic Components
NVDA,NVIDIA Corporation Common Stock,$145.23 ,-6.36,-4.20%,3.63075E+11,United States,1999,57661254,Technology,Semiconductors
NXPI,NXP Semiconductors N.V. Common Stock,$146.09 ,-1.94,-1.31%,38358090171,Netherlands,2010,2531240,Technology,Semiconductors
OKTA,Okta Inc. Class A Common Stock,$95.98 ,5.58,6.17%,15143652319,United States,2017,2424535,Technology,EDP Services
ON,ON Semiconductor Corporation Common Stock,$46.84 ,-3.47,-6.90%,20352245255,United States,,11221130,Technology,Semiconductors
PANW,Palo Alto Networks Inc. Common Stock,$508.25 ,14.31,2.90%,50639686968,United States,,1174714,Technology,EDP Services
PTC,PTC Inc. Common Stock,$107.00 ,0.66,0.62%,12516426008,United States,,539614,Technology,Computer Software: Prepackaged Software
QCOM,QUALCOMM Incorporated Common Stock,$123.53 ,-4.21,-3.30%,1.38354E+11,United States,1991,7670377,Technology,Computer peripheral equipment
ROKU,Roku Inc. Class A Common Stock,$83.91 ,1.77,2.16%,11409449454,United States,2017,6153539,Telecommunications,Cable & Other Pay Television Services
SEDG,SolarEdge Technologies Inc. Common Stock,$276.30 ,2.62,0.96%,15303506846,Israel,2015,554892,Technology,Semiconductors
SNPS,Synopsys Inc. Common Stock,$301.23 ,-2.47,-0.81%,46079228106,United States,1992,916546,Technology,EDP Services
SPLK,Splunk Inc. Common Stock,$91.96 ,3.5,3.96%,14796364000,United States,2012,962042,Technology,Computer Software: Prepackaged Software
SSNC,SS&C Technologies Holdings Inc. Common Stock,$58.83 ,0.76,1.31%,14988760582,United States,2010,808435,Technology,EDP Services
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$69.09 ,-2.35,-3.29%,14843569818,Ireland,2002,1782457,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$91.12 ,-1.52,-1.64%,14663589330,United States,,1790985,Technology,Semiconductors
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,$197.51 ,10.11,5.40%,50066168980,United Kingdom,2015,1710908,Technology,Computer Software: Prepackaged Software
TMUS,T-Mobile US Inc. Common Stock,$136.81 ,2.27,1.69%,1.71503E+11,United States,,3543847,Telecommunications,Telecommunications Equipment
TTD,The Trade Desk Inc. Class A Common Stock,$41.66 ,-0.23,-0.55%,20260332453,United States,2016,5331340,Technology,EDP Services
TTWO,Take-Two Interactive Software Inc. Common Stock,$124.86 ,2.33,1.90%,20242279976,United States,1997,1003524,Technology,Computer Software: Prepackaged Software
TXN,Texas Instruments Incorporated Common Stock,$148.54 ,-5.11,-3.33%,1.36974E+11,United States,,8738177,Technology,Semiconductors
VOD,Vodafone Group Plc American Depositary Shares,$15.61 ,0.03,0.19%,43821073408,United Kingdom,,4652811,Telecommunications,Telecommunications Equipment
VRSN,VeriSign Inc. Common Stock,$170.81 ,3.48,2.08%,18711346605,United States,1998,535355,Technology,EDP Services
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,$14.25 ,0.83,6.19%,34582532771,United States,,23443231,Telecommunications,Cable & Other Pay Television Services
WDAY,Workday Inc. Class A Common Stock,$142.35 ,2.77,1.99%,36156900000,United States,,1677367,Technology,Computer Software: Prepackaged Software
WDC,Western Digital Corporation Common Stock,$43.42 ,-1.41,-3.15%,13597746658,United States,,6023709,Technology,Electronic Components
ZBRA,Zebra Technologies Corporation Class A Common Stock,$299.34 ,5.39,1.83%,15719488974,United States,1991,473853,Technology,Computer peripheral equipment
ZI,ZoomInfo Technologies Inc Common Stock,$33.89 ,0.65,1.96%,13670978501,United States,2020,3357508,Technology,Computer Software: Prepackaged Software
ZM,Zoom Video Communications Inc. Class A Common Stock,$110.97 ,3,2.78%,33110993011,United States,2019,2796762,Technology,Computer Software: Prepackaged Software
ZS,Zscaler Inc. Common Stock,$155.37 ,5.86,3.92%,22041206922,United States,2018,1838019,Technology,EDP Services
