Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$229.00,-0.79,-0.344%,3481747373000.00,United States,1980,52957927,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$574.41,4.78,0.839%,254693394000.00,United States,1986,1982218,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$234.84,3.95,1.711%,116596522972.00,United States,,2770944,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$275.91,2.55,0.933%,112514774460.00,United States,,1548067,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,$258.40,0.17,0.066%,55814400000.00,United States,,4054818,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$197.26,4.28,2.218%,162621950399.00,United States,1972,7311641,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$148.56,3.07,2.11%,240441662893.00,United States,,31139467,Technology,Semiconductors
ANSS,ANSYS Inc. Common Stock,$321.42,1.43,0.447%,28087815114.00,United States,1996,953396,Technology,Computer Software: Prepackaged Software
APP,Applovin Corporation Class A Common Stock,$92.87,1.26,1.375%,31041666275.00,United States,2021,4577811,Technology,Computer Software: Programming Data Processing
ARM,Arm Holdings plc American Depositary Shares,$132.88,0.95,0.72%,138239116441.00,United Kingdom,2023,4758537,Technology,Semiconductors
ASML,ASML Holding N.V. New York Registry Shares,$903.87,16.16,1.82%,355602090960.00,Netherlands,1995,990876,Technology,Industrial Machinery/Components
AVGO,Broadcom Inc. Common Stock,$162.82,5.89,3.753%,757908170547.00,United States,2009,25133858,Technology,Semiconductors
AZPN,Aspen Technology Inc. Common Stock,$234.14,4.65,2.026%,14810419869.00,United States,,511717,Technology,EDP Services
BIDU,Baidu Inc. ADS,$84.62,0.80,0.954%,29671912034.00,China,2005,1895802,Technology,Computer Software: Programming Data Processing
BSY,Bentley Systems Incorporated Class B Common Stock,$51.47,0.07,0.136%,15552068451.00,United States,2020,1352234,Technology,Computer Software: Prepackaged Software
CDNS,Cadence Design Systems Inc. Common Stock,$268.93,3.30,1.242%,73638412600.00,United States,,2021716,Technology,Computer Software: Prepackaged Software
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$192.50,0.89,0.464%,21734487198.00,Israel,1996,661034,Technology,Computer Software: Prepackaged Software
CHTR,Charter Communications Inc. Class A Common Stock New,$347.54,-3.99,-1.135%,49608272130.00,United States,,1030727,Telecommunications,Cable & Other Pay Television Services
CMCSA,Comcast Corporation Class A Common Stock,$39.57,0.11,0.279%,153234889222.00,United States,,25874322,Telecommunications,Cable & Other Pay Television Services
