Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MU,Micron Technology Inc. Common Stock,$56.73,3.08,5.741%,63348510798.00,United States,,33745940,Technology,Semiconductors
NET,Cloudflare Inc. Class A Common Stock,$50.50,4.60,10.022%,16474967743.00,United States,2019,5669362,Technology,EDP Services
NICE,NICE Ltd American Depositary Shares,$202.32,9.12,4.72%,12853720596.00,Israel,,292818,Technology,Computer Manufacturing
NLOK,NortonLifeLock Inc. Common Stock,$22.13,-0.15,-0.673%,12836817825.00,United States,,3557503,Technology,Computer Software: Prepackaged Software
NOC,Northrop Grumman Corporation Common Stock,$464.36,-22.01,-4.525%,72182255849.00,United States,,1254372,Technology,Security Systems Services
NOK,Nokia Corporation Sponsored American Depositary Shares,$4.55,-0.11,-2.361%,25602494636.00,Finland,1994,39647593,Technology,Radio And Television Broadcasting And Communications Equipment
NOW,ServiceNow Inc. Common Stock,$495.93,11.57,2.389%,99414069280.00,United States,2012,1463608,Technology,Computer Software: Prepackaged Software
NTAP,NetApp Inc. Common Stock,$64.22,1.44,2.294%,14204849029.00,United States,1995,2388966,Technology,Electronic Components
NVDA,NVIDIA Corporation Common Stock,$149.64,4.41,3.037%,374100000000.00,United States,1999,65136427,Technology,Semiconductors
NXPI,NXP Semiconductors N.V. Common Stock,$145.91,-0.18,-0.123%,38310828509.00,Netherlands,2010,3164613,Technology,Semiconductors
OKTA,Okta Inc. Class A Common Stock,$102.56,6.58,6.856%,16181839777.00,United States,2017,2751947,Technology,EDP Services
ON,ON Semiconductor Corporation Common Stock,$47.30,0.46,0.982%,20552117860.00,United States,,7770802,Technology,Semiconductors
ORAN,Orange,$11.48,-0.35,-2.959%,30522654126.00,France,,819769,Telecommunications,Telecommunications Equipment
ORCL,Oracle Corporation Common Stock,$71.99,1.12,1.58%,191848022740.00,United States,1986,9040449,Technology,Computer Software: Prepackaged Software
PANW,Palo Alto Networks Inc. Common Stock,$521.14,12.89,2.536%,51923987145.00,United States,,1360382,Technology,EDP Services
PATH,UiPath Inc. Class A Common Stock,$20.55,1.84,9.834%,11194247368.00,,2021,6488671,Technology,Computer Software: Prepackaged Software
PAYC,Paycom Software Inc. Common Stock,$313.29,22.12,7.597%,18876975347.00,,2014,509362,Technology,Computer Software: Prepackaged Software
PCTY,Paylocity Holding Corporation Common Stock,$189.41,11.56,6.50%,10441180981.00,United States,2014,299649,Technology,Computer Software: Prepackaged Software
PINS,Pinterest Inc. Class A Common Stock,$20.23,1.52,8.124%,13422300518.00,,2019,14754912,Technology,Interactive Media
PLTR,Palantir Technologies Inc. Class A Common Stock,$10.07,0.80,8.63%,20609206192.00,,2020,55854888,Technology,Retail: Computer Software & Peripheral Equipment
PTC,PTC Inc. Common Stock,$107.10,0.10,0.093%,12528123602.00,United States,,602070,Technology,Computer Software: Prepackaged Software
QCOM,QUALCOMM Incorporated Common Stock,$125.83,2.30,1.862%,140929600000.00,United States,1991,8113088,Technology,Computer peripheral equipment
RBLX,Roblox Corporation Class A Common Stock,$39.99,4.92,14.029%,23721807705.00,,2021,59571735,Technology,EDP Services
ROKU,Roku Inc. Class A Common Stock,$92.06,8.15,9.713%,12517625036.00,United States,2017,9151562,Telecommunications,Cable & Other Pay Television Services
SAP,SAP  SE ADS,$89.16,-1.54,-1.698%,105171293954.00,Germany,,1580434,Technology,EDP Services
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,$75.34,6.28,9.094%,42321337906.00,United States,2017,5848317,Technology,Computer Software: Prepackaged Software
SEDG,SolarEdge Technologies Inc. Common Stock,$271.27,-5.03,-1.82%,15024908802.00,Israel,2015,757975,Technology,Semiconductors
SNAP,Snap Inc. Class A Common Stock,$14.38,1.21,9.188%,23595111141.00,United States,2017,28811777,Technology,Internet and Information Services
SNOW,Snowflake Inc. Class A Common Stock,$154.90,10.37,7.175%,49273690000.00,United States,2020,8422161,Technology,Computer Software: Prepackaged Software
SNPS,Synopsys Inc. Common Stock,$302.91,1.68,0.558%,46336218125.00,United States,1992,891216,Technology,EDP Services
SPLK,Splunk Inc. Common Stock,$94.42,2.46,2.675%,15192178000.00,United States,2012,1087408,Technology,Computer Software: Prepackaged Software
SQ,Block Inc. Class A Common Stock,$66.73,2.83,4.429%,38737029117.00,United States,2015,14491828,Technology,Computer Software: Prepackaged Software
SSNC,SS&C Technologies Holdings Inc. Common Stock,$59.24,0.41,0.697%,15093220753.00,United States,2010,827499,Technology,EDP Services
STM,STMicroelectronics N.V. Common Stock,$29.56,-0.84,-2.763%,26699567007.00,Switzerland,,5837612,Technology,Semiconductors
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$71.31,2.22,3.213%,15320523429.00,Ireland,2002,1796250,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$93.85,2.73,2.996%,15102917676.00,United States,,2372507,Technology,Semiconductors
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,$208.39,10.88,5.509%,52824104874.00,United Kingdom,2015,1558074,Technology,Computer Software: Prepackaged Software
TEF,Telefonica SA Common Stock,$5.07,-0.07,-1.362%,29280454399.00,Spain,1988,1216297,Telecommunications,Telecommunications Equipment
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,$111.47,0.47,0.423%,35912715604.00,Switzerland,,2284072,Technology,Electronic Components
TLK,PT Telekomunikasi Indonesia Tbk,$27.00,-0.25,-0.917%,26746798482.00,Indonesia,,225917,Telecommunications,Telecommunications Equipment
TMUS,T-Mobile US Inc. Common Stock,$137.56,0.75,0.548%,172443129627.00,United States,,3156708,Telecommunications,Telecommunications Equipment
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$76.11,-0.89,-1.156%,394691138372.00,Taiwan,1997,22253018,Technology,Semiconductors
TTD,The Trade Desk Inc. Class A Common Stock,$44.29,2.63,6.313%,21539369283.00,United States,2016,4205664,Technology,EDP Services
TTWO,Take-Two Interactive Software Inc. Common Stock,$127.04,2.18,1.746%,20595701171.00,United States,1997,1783447,Technology,Computer Software: Prepackaged Software
TWTR,Twitter Inc. Common Stock,$38.38,0.15,0.392%,29329254805.00,,2013,8155652,Technology,EDP Services
TXN,Texas Instruments Incorporated Common Stock,$149.10,0.56,0.377%,137490156290.00,United States,,8486389,Technology,Semiconductors
TYL,Tyler Technologies Inc. Common Stock,$340.13,6.25,1.872%,14106447880.00,United States,,174796,Technology,Computer Software: Prepackaged Software
U,Unity Software Inc. Common Stock,$42.33,4.79,12.76%,12530230417.00,United States,2020,9572690,Technology,Retail: Computer Software & Peripheral Equipment
UBER,Uber Technologies Inc. Common Stock,$22.52,1.18,5.53%,44221628898.00,,2019,24500277,Technology,EDP Services
UI,Ubiquiti Inc. Common Stock,$247.00,1.21,0.492%,14923336155.00,United States,,48236,Technology,Radio And Television Broadcasting And Communications Equipment
UMC,United Microelectronics Corporation (NEW) Common Stock,$6.56,0.01,0.153%,16376384000.00,Taiwan,,11508048,Technology,Semiconductors
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),$8.68,-0.33,-3.663%,14535350676.00,Brazil,2020,1419640,Telecommunications,Telecommunications Equipment
VMW,Vmware Inc. Common stock Class A,$114.03,-0.03,-0.026%,48057416909.00,United States,2007,1550980,Technology,Computer Software: Prepackaged Software
VOD,Vodafone Group Plc American Depositary Shares,$15.38,-0.23,-1.473%,43175407368.00,United Kingdom,,4999489,Telecommunications,Telecommunications Equipment
VRSN,VeriSign Inc. Common Stock,$172.30,1.49,0.872%,18874568351.00,United States,1998,625911,Technology,EDP Services
VZ,Verizon Communications Inc. Common Stock,$51.42,-0.22,-0.426%,215945679105.00,United States,,19675631,Telecommunications,Telecommunications Equipment
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,$14.44,0.19,1.333%,35043633208.00,United States,,20355789,Telecommunications,Cable & Other Pay Television Services
WDAY,Workday Inc. Class A Common Stock,$146.37,4.02,2.824%,37177980000.00,United States,,2312544,Technology,Computer Software: Prepackaged Software
WDC,Western Digital Corporation Common Stock,$43.79,0.37,0.852%,13713618750.00,United States,,3508343,Technology,Electronic Components
WIT,Wipro Limited Common Stock,$5.31,-0.10,-1.848%,29033258941.00,India,,2625242,Technology,EDP Services
ZBRA,Zebra Technologies Corporation Class A Common Stock,$302.33,2.99,0.999%,15876505317.00,United States,1991,331157,Technology,Computer peripheral equipment
ZI,ZoomInfo Technologies Inc Common Stock,$36.73,2.84,8.38%,14816613761.00,United States,2020,4434811,Technology,Computer Software: Prepackaged Software
ZM,Zoom Video Communications Inc. Class A Common Stock,$120.42,9.45,8.516%,35930663948.00,United States,2019,5310150,Technology,Computer Software: Prepackaged Software
ZS,Zscaler Inc. Common Stock,$166.31,10.94,7.041%,23593184805.00,United States,2018,2764066,Technology,EDP Services
