Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PCTY,Paylocity Holding Corporation Common Stock,$205.39 ,7.415,3.75%,11434581692,United States,2014,47897,Technology,Computer Software: Prepackaged Software
PTC,PTC Inc. Common Stock,$124.32 ,2.675,2.20%,14603527826,United States,,74349,Technology,Computer Software: Prepackaged Software
QCOM,QUALCOMM Incorporated Common Stock,$120.51 ,2.3,1.95%,1.35092E+11,United States,1991,844044,Technology,Computer peripheral equipment
SEDG,SolarEdge Technologies Inc. Common Stock,$312.38 ,1.59,0.51%,17460441053,Israel,2015,130516,Technology,Semiconductors
SNPS,Synopsys Inc. Common Stock,$329.96 ,6.155,1.90%,50276893125,United States,1992,159160,Technology,EDP Services
SPLK,Splunk Inc. Common Stock,$86.43 ,2.71,3.24%,14148591000,United States,2012,286481,Technology,Computer Software: Prepackaged Software
SSNC,SS&C Technologies Holdings Inc. Common Stock,$51.12 ,0.65,1.29%,12877680914,United States,2010,219939,Technology,EDP Services
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$53.67 ,1.095,2.08%,11079373390,Ireland,2002,171518,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$94.25 ,2.29,2.49%,15095180282,United States,,205121,Technology,Semiconductors
TEAM,Atlassian Corporation Class A Common Stock,$133.66 ,8.2,6.54%,34152801596,United Kingdom,2015,1407372,Technology,EDP Services
TMUS,T-Mobile US Inc. Common Stock,$145.90 ,-2.89,-1.94%,1.81522E+11,United States,,1633172,Telecommunications,Telecommunications Equipment
TTWO,Take-Two Interactive Software Inc. Common Stock,$99.43 ,-0.065,-0.07%,16685416603,United States,1997,463597,Technology,Computer Software: Prepackaged Software
TXN,Texas Instruments Incorporated Common Stock,$174.92 ,1.17,0.67%,1.58752E+11,United States,,548553,Technology,Semiconductors
VOD,Vodafone Group Plc American Depositary Shares,$10.55 ,-0.1259,-1.18%,28922499914,United Kingdom,,2893567,Telecommunications,Telecommunications Equipment
VRSN,VeriSign Inc. Common Stock,$197.82 ,1.83,0.93%,20972175326,United States,1998,39724,Technology,EDP Services
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,$10.90 ,0.16,1.49%,26469516564,United States,,2733982,Telecommunications,Cable & Other Pay Television Services
WDAY,Workday Inc. Class A Common Stock,$168.24 ,3.52,2.14%,43237680000,United States,,256235,Technology,Computer Software: Prepackaged Software
WDC,Western Digital Corporation Common Stock,$35.00 ,0.855,2.50%,11116172074,United States,,419271,Technology,Electronic Components
ZBRA,Zebra Technologies Corporation Class A Common Stock,$256.58 ,4.035,1.60%,13246915422,United States,1991,63903,Technology,Computer peripheral equipment
ZI,ZoomInfo Technologies Inc Common Stock,$28.87 ,0.54,1.91%,11653577850,United States,2020,551567,Technology,Computer Software: Prepackaged Software
ZM,Zoom Video Communications Inc. Class A Common Stock,$70.91 ,1.04,1.49%,20728569258,United States,2019,832154,Technology,Computer Software: Prepackaged Software
ZS,Zscaler Inc. Common Stock,$115.82 ,1.58,1.38%,16702553577,United States,2018,576748,Technology,EDP Services
