Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ORLY,O'Reilly Automotive Inc. Common Stock,$647.51,11.43,1.797%,42557875769.00,United States,1993,464360,Consumer Discretionary,Auto & Home Supply Stores
PARA,Paramount Global Class B Common Stock,$25.19,-0.02,-0.079%,16350842048.00,United States,,7953089,Consumer Discretionary,Movies/Entertainment
PARAA,Paramount Global Class A Common Stock,$27.79,-0.05,-0.18%,18038503395.00,United States,,35611,Consumer Discretionary,Movies/Entertainment
PAYX,Paychex Inc. Common Stock,$115.57,-0.79,-0.679%,41593643000.00,United States,1983,1427755,Consumer Discretionary,Business Services
PDD,Pinduoduo Inc. American Depositary Shares,$66.62,1.80,2.777%,84233373269.00,China,2018,9084374,Consumer Discretionary,Catalog/Specialty Distribution
PEP,PepsiCo Inc. Common Stock,$169.01,-0.38,-0.224%,233687348307.00,United States,,4971671,Consumer Staples,Beverages (Production/Distribution)
PLUG,Plug Power Inc. Common Stock,$17.60,0.42,2.445%,10174587526.00,United States,1999,17473159,Consumer Discretionary,Electrical Products
PYPL,PayPal Holdings Inc. Common Stock,$74.40,3.00,4.202%,86158170718.00,United States,,12833153,Consumer Discretionary,Business Services
RIVN,Rivian Automotive Inc. Class A Common Stock,$26.86,1.16,4.514%,24191664721.00,United States,2021,10470073,Consumer Discretionary,Auto Manufacturing
ROST,Ross Stores Inc. Common Stock,$73.82,2.44,3.418%,25831566922.00,United States,1985,3824529,Consumer Discretionary,Clothing/Shoe/Accessory Stores
RYAAY,Ryanair Holdings plc American Depositary Shares,$68.37,-0.28,-0.408%,15522499521.00,Ireland,1997,709898,Consumer Discretionary,Air Freight/Delivery Services
SBUX,Starbucks Corporation Common Stock,$79.52,0.26,0.328%,91201488000.00,United States,1992,8089606,Consumer Discretionary,Beverages - Non-Alcoholic
SIRI,Sirius XM Holdings Inc. Common Stock,$6.22,0.01,0.161%,24482644661.00,United States,,15114306,Consumer Discretionary,Movies/Entertainment
TCOM,Trip.com Group Limited American Depositary Shares,$26.00,-1.79,-6.441%,16685613802.00,China,2003,7710147,Consumer Discretionary,Hotels/Resorts
TSCO,Tractor Supply Company Common Stock,$198.03,1.72,0.876%,22155918793.00,United States,1994,1160891,Consumer Discretionary,Other Specialty Stores
TSLA,Tesla Inc. Common Stock,$699.20,17.41,2.554%,724644285845.00,United States,2010,28259704,Consumer Discretionary,Auto Manufacturing
UAL,United Airlines Holdings Inc. Common Stock,$36.97,0.53,1.454%,12079244405.00,United States,,15456973,Consumer Discretionary,Air Freight/Delivery Services
VRSK,Verisk Analytics Inc. Common Stock,$175.42,0.12,0.068%,27699167437.00,United States,2009,742323,Consumer Discretionary,Business Services
VTRS,Viatris Inc. Common Stock,$10.50,-0.21,-1.961%,12729432534.00,United States,,6803209,Consumer Discretionary,Specialty Chemicals
WBA,Walgreens Boots Alliance Inc. Common Stock,$38.51,-0.05,-0.13%,33282523630.00,United States,,6969814,Consumer Staples,Retail-Drug Stores and Proprietary Stores
WMG,Warner Music Group Corp. Class A Common Stock,$25.64,1.07,4.355%,13200723770.00,United States,2020,504776,Consumer Discretionary,Movies/Entertainment
