Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
QCOM,QUALCOMM Incorporated Common Stock,$127.74,-2.49,-1.912%,143068800000.00,United States,1991,9277889,Technology,Computer peripheral equipment
ROKU,Roku Inc. Class A Common Stock,$82.14,-4.97,-5.705%,11168778193.00,United States,2017,6714085,Telecommunications,Cable & Other Pay Television Services
SEDG,SolarEdge Technologies Inc. Common Stock,$273.68,10.72,4.077%,15158392159.00,Israel,2015,853373,Technology,Semiconductors
SNPS,Synopsys Inc. Common Stock,$303.70,-2.36,-0.771%,46457064621.00,United States,1992,1039689,Technology,EDP Services
SPLK,Splunk Inc. Common Stock,$88.46,-3.86,-4.181%,14233214000.00,United States,2012,1441752,Technology,Computer Software: Prepackaged Software
SSNC,SS&C Technologies Holdings Inc. Common Stock,$58.07,-0.58,-0.989%,14795127095.00,United States,2010,1449368,Technology,EDP Services
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$71.44,-0.04,-0.056%,15348453145.00,Ireland,2002,1526643,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$92.64,-1.23,-1.31%,14908197054.00,United States,,1891980,Technology,Semiconductors
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,$187.40,-4.96,-2.578%,47503417887.00,United Kingdom,2015,1613441,Technology,Computer Software: Prepackaged Software
TMUS,T-Mobile US Inc. Common Stock,$134.54,0.17,0.127%,168657303432.00,United States,,4391115,Telecommunications,Telecommunications Equipment
TTD,The Trade Desk Inc. Class A Common Stock,$41.89,-1.45,-3.346%,20372187385.00,United States,2016,5452039,Technology,EDP Services
TTWO,Take-Two Interactive Software Inc. Common Stock,$122.53,-3.00,-2.39%,19864540809.00,United States,1997,1679933,Technology,Computer Software: Prepackaged Software
TXN,Texas Instruments Incorporated Common Stock,$153.65,0.87,0.569%,141685865284.00,United States,,6807948,Technology,Semiconductors
VOD,Vodafone Group Plc American Depositary Shares,$15.58,0.14,0.907%,43736856098.00,United Kingdom,,5668091,Telecommunications,Telecommunications Equipment
VRSN,VeriSign Inc. Common Stock,$167.33,1.07,0.644%,18330130715.00,United States,1998,841203,Technology,EDP Services
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,$13.42,0.25,1.898%,32568251915.00,United States,,25815664,Telecommunications,Cable & Other Pay Television Services
WDAY,Workday Inc. Class A Common Stock,$139.58,-6.73,-4.60%,35453320000.00,United States,,3419346,Technology,Computer Software: Prepackaged Software
WDC,Western Digital Corporation Common Stock,$44.83,-0.57,-1.256%,14039313281.00,United States,,4165292,Technology,Electronic Components
ZBRA,Zebra Technologies Corporation Class A Common Stock,$293.95,-4.38,-1.468%,15436439447.00,United States,1991,540511,Technology,Computer peripheral equipment
ZI,ZoomInfo Technologies Inc Common Stock,$33.24,-0.95,-2.779%,13408773248.00,United States,2020,3240940,Technology,Computer Software: Prepackaged Software
ZM,Zoom Video Communications Inc. Class A Common Stock,$107.97,-3.90,-3.486%,32215859380.00,United States,2019,4249588,Technology,Computer Software: Prepackaged Software
ZS,Zscaler Inc. Common Stock,$149.51,-5.44,-3.511%,21209891529.00,United States,2018,2472385,Technology,EDP Services
