Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TM,Toyota Motor Corporation Common Stock,$136.65,0.78,0.574%,186061808758.00,Japan,,155875,Consumer Discretionary,Auto Manufacturing
TME,Tencent Music Entertainment Group American Depositary Shares each representing two Class A Ordinary Shares,$7.66,0.07,0.922%,12984290823.00,,2018,5261884,Consumer Discretionary,Broadcasting
TSCO,Tractor Supply Company Common Stock,$227.21,0.60,0.265%,25098353896.00,United States,1994,816055,Consumer Discretionary,Other Specialty Stores
TSLA,Tesla Inc. Common Stock,$190.41,-1.81,-0.942%,602476795297.00,United States,2010,116333777,Consumer Discretionary,Auto Manufacturing
TTC,Toro Company (The) Common Stock,$107.73,-0.68,-0.627%,11276963741.00,United States,,300531,Consumer Discretionary,Tools/Hardware
UAL,United Airlines Holdings Inc. Common Stock,$41.36,-0.30,-0.72%,13528566356.00,United States,,7718434,Consumer Discretionary,Air Freight/Delivery Services
UHAL,U-Haul Holding Company Common Stock,$54.17,-0.38,-0.697%,10621538760.00,United States,2022,244439,Consumer Discretionary,Rental/Leasing Companies
UL,Unilever PLC Common Stock,$51.39,0.41,0.804%,130124620131.00,United Kingdom,,1818694,Consumer Discretionary,Package Goods/Cosmetics
UPS,United Parcel Service Inc. Common Stock,$186.07,0.78,0.421%,159785935637.00,United States,1999,2586748,Consumer Discretionary,Air Freight/Delivery Services
URI,United Rentals Inc. Common Stock,$370.78,-11.40,-2.983%,25717149151.00,United States,1997,1533538,Consumer Discretionary,Diversified Commercial Services
V,Visa Inc.,$221.04,-1.55,-0.696%,464578796007.00,United States,,4791454,Consumer Discretionary,Business Services
VRSK,Verisk Analytics Inc. Common Stock,$186.69,4.87,2.678%,29196066386.00,United States,2009,1003153,Consumer Discretionary,Business Services
WMG,Warner Music Group Corp. Class A Common Stock,$31.50,0.15,0.478%,16252074500.00,United States,2020,736601,Consumer Discretionary,Movies/Entertainment
WMT,Walmart Inc. Common Stock,$141.80,1.15,0.818%,382406247657.00,United States,,7584082,Consumer Discretionary,Department/Specialty Retail Stores
WPP,WPP plc American Depositary Shares,$56.36,-1.35,-2.339%,12071605696.00,Ireland,,63136,Consumer Discretionary,Advertising
WSO,Watsco Inc. Common Stock,$299.63,4.64,1.573%,11606521314.00,United States,,203255,Consumer Discretionary,Wholesale Distributors
WYNN,Wynn Resorts Limited Common stock,$106.58,0.38,0.358%,12076962529.00,United States,2002,2296389,Consumer Discretionary,Hotels/Resorts
YUM,Yum! Brands Inc.,$127.83,0.15,0.117%,35792400000.00,United States,,1193836,Consumer Discretionary,Restaurants
YUMC,Yum China Holdings Inc. Common Stock,$61.68,-2.15,-3.368%,25808866022.00,United States,2016,1622477,Consumer Discretionary,Restaurants
Z,Zillow Group Inc. Class C Capital Stock,$43.43,0.07,0.161%,10177548368.00,United States,,1735070,Consumer Discretionary,Business Services
ZTO,ZTO Express (Cayman) Inc. American Depositary Shares each representing one Class A ordinary share.,$28.51,-0.03,-0.105%,23085491137.00,China,2016,2171101,Consumer Discretionary,Advertising
