Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
IBN,ICICI Bank Limited Common Stock,$20.74,-0.02,-0.096%,72387075837.00,India,,4440226,Finance,Commercial Banks
ICE,Intercontinental Exchange Inc. Common Stock,$97.49,0.96,0.995%,54482408168.00,United States,2005,1995218,Finance,Investment Bankers/Brokers/Service
ING,ING Group N.V. Common Stock,$11.29,-0.16,-1.397%,40992453137.00,Netherlands,1997,5546102,Finance,Commercial Banks
IT,Gartner Inc. Common Stock,$312.11,3.57,1.157%,24675602305.00,United States,1993,427911,Finance,Diversified Commercial Services
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),$4.37,0.04,0.924%,42829787304.00,Brazil,,28189165,Finance,Major Banks
IX,Orix Corp Ads Common Stock,$82.45,0.39,0.475%,18958206875.00,Japan,,137813,Finance,Diversified Financial Services
JPM,JP Morgan Chase & Co. Common Stock,$124.91,-1.93,-1.522%,366523413000.00,United States,,22311260,Finance,Major Banks
KB,KB Financial Group Inc,$36.25,-1.08,-2.893%,14124244644.00,South Korea,,280773,Finance,Commercial Banks
KEY,KeyCorp Common Stock,$11.86,0.59,5.235%,11069234500.00,United States,,28742995,Finance,Major Banks
KKR,KKR & Co. Inc. Common Stock,$50.05,-0.52,-1.028%,43098579424.00,United States,,3184231,Finance,Investment Managers
L,Loews Corporation Common Stock,$54.56,0.78,1.45%,12821473039.00,United States,,1061098,Finance,Property-Casualty Insurers
LPLA,LPL Financial Holdings Inc. Common Stock,$192.00,-11.88,-5.827%,15215615808.00,United States,2010,1340552,Finance,Investment Bankers/Brokers/Service
LYG,Lloyds Banking Group Plc American Depositary Shares,$2.22,-0.01,-0.448%,37410767526.00,United Kingdom,,19249948,Finance,Commercial Banks
MCO,Moody's Corporation Common Stock,$292.73,2.36,0.813%,53628136000.00,United States,,569118,Finance,Advertising
MET,MetLife Inc. Common Stock,$54.35,0.05,0.092%,42344085000.00,United States,2000,6625292,Finance,Life Insurance
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),$2.79,-0.01,-0.357%,35353166089.00,Japan,,1024086,Finance,Major Banks
MKL,Markel Corporation Common Stock,$1215.92,-1.13,-0.093%,16303797071.00,United States,1986,35897,Finance,Property-Casualty Insurers
MKTX,MarketAxess Holdings Inc. Common Stock,$385.99,2.78,0.725%,14527437310.00,United States,2004,172884,Finance,Investment Bankers/Brokers/Service
